Row.names	GeneSymbol	BRCAControl_NumNonMuts	BRCAControl_NumMuts	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAControl_MutationRate	BRCAXControl_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
1120	CHKB;CHKB	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
11234	HPS5;HPS5	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
112703	FAM71E1;FAM71E1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
11285	B4GALT7;B4GALT7	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
11346	SYNPO;SYNPO	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
113510	HELQ;HELQ	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
114327	EFHC1;EFHC1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
114783	LMTK3;LMTK3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
114787	GPRIN1;GPRIN1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
114884	OSBPL10;OSBPL10	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
114990	VASN;VASN	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
115908	CTHRC1;CTHRC1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
116987	AGAP1;AGAP1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
117153	MIA2;MIA2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
117248	GALNTL2;GALNTL2	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
119395	CALHM3;CALHM3	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
119692	OR51S1;OR51S1	9	0	6	1	0	0.142857142857	NA	0.4375	1.17108008753824	0.214608920978493
